name;servings_in_grams;calories;total_fat;saturated_fat;trans_fat;polyunsaturated_fat;monounsaturated_fat;carbohydrate;protein;fiber;sugar;cholesterol;sodium;vitamind;calcium;iron;potassium;caffeine
Apple;182;95;0.3;0.1;0;0.1;0;25;0.5;4.4;19;0;1.8;0;11;0.2;194.7;0
Banana;118;105;0.9;0.1;0;0.1;0;27;1.3;3.1;14;0;1.2;0;5.9;0.3;422.4;0
Beetroot;50;22;0.1;0;0;0;0;5;0.8;1;4;0;39;0;8;0.4;152.5;0
Bell Pepper;114;32;0.2;0;0;0.1;0;7.5;1.1;1.3;2.9;0;2.3;0;11;0.5;206.7;0
Cabbage;75;17;0.1;0;0;0;0;4.1;1;1.4;2.1;0;6;0;36;0.1;147;0
Capsicum;45;18;0.1;0;0;0.1;0;4.3;0.9;0.7;2.3;0;3.2;0;8.1;0.5;153;0
Carrot;46;16;0.1;0;0;;0;3.8;0.4;1.4;1.6;0;27;0;14;0.2;108.1;0
Cauliflower;575;132;2.6;0.4;0;1.2;0.2;24;11;13;12;0;86;0;92;1.8;816.5;0
Chili Pepper;45;18;0.2;0;0;0.1;0;4;0.8;0.7;2.4;0;4.1;0;6.3;0.5;144.9;0
Corn;103;99;1.5;0.2;0;0.6;0.4;22;3.5;2.5;4.7;0;1;0;3.1;0.5;224.5;0
Cucumber;201;30;0.2;0.1;0;0.1;0;7.3;1.3;1;3.4;0;4;0;32;0.6;295.5;0
Eggplant;566;198;1.3;0.3;0;0.5;0.1;49;4.7;14;18;0;5.7;0;34;1.4;696.2;0
Garlic;3;4.5;0;0;0;0;0;1;0.2;0.1;0;0;0.5;0;5.4;0.1;12;0
Ginger;2;1.6;0;0;0;0;0;0.4;0;0;0;0;0.3;0;0.3;0;8.3;0
Grapes;49;34;0.1;0;0;0;0;8.9;0.4;0.4;7.6;0;1;0;4.9;0.2;93.6;0
Jalepeno;14;4.1;0.1;0;0;0;0;0.9;0.1;0.4;0.6;0;0.4;0;1.7;0;34,7;0
Kiwi;69;42;0.4;0;0;0.2;0;10;0.8;2.1;6.2;0;2.1;0;23;0.2;215.3;0
Lemon;84;24;0.3;0;0;0.1;0;7.8;0.9;2.4;2.1;0;1.7;0;22;0.5;115.9;0
Lettuce;94;16;0.3;0;0;0.2;0;3.1;1.2;2;1.1;0;7.5;0;31;0.9;232.2;0
Mango;336;202;1.3;0.3;0;0.2;0.5;50;2.8;5.4;46;0;3.4;0;37;0.5;564.5;0
Onion;94;41;0.2;0;0;0.1;0;9.5;1.3;1.3;4.4;0;2.8;0;21;0.2;156;0
Orange;140;69;0.2;0;0;0;0;18;1.3;3.1;12;0;1.4;0;60;0.2;232.4;0
Paprika;2.3;6.5;0.3;0.1;0;0.2;0;1.2;0.3;0.8;0.2;0;1.6;0;5.3;0.5;52.4;0
Pear;178;101;0.3;0;0;.2;0.2;27;0.6;5.5;17;0;1.8;0;16;0.3;206.5;0
Peas;160;134;0.4;0.1;0;0.2;0;25;8.6;8.8;9.5;0;4.8;0;43;2.5;433.6;0
Pineapple;83;41;0.1;0;0;0;0;11;0.5;1.2;8.1;0;0.8;0;11;0.2;89.9;0
Pomegranate;282;234;3.3;0.3;0;0.2;0.3;53;4.7;11;39;0;8.5;0;28;0.9;665.5;0
Potato;173;161;0.2;0.1;0;0.1;0;37;4.3;3.8;2;0;17;0;26;1.9;925.6;0
Raddish;4.5;0.7;0;0;0;0;0;0.2;0;0.1;0.1;0;1.8;0;1.1;0;10.5;0
Rice;158;205;0.4;0.1;0;0.1;0.1;45;4.3;0.6;0.1;0;1.6;0;16;0.3;55.3;0
Salad;85;20;0.2;0;0;0.1;0;4.2;1.2;1.7;1.8;0;31;0;37;0.9;241.3;0
Sandwich;58;155;1.9;0.5;0;0.9;0.4;28;6.2;2.3;3.4;0;295;0;77;2;102.7;0
Soy Beans;172;296;15;2.2;0;8.7;3.4;14;31;10;5.2;0;1.7;0;175;8.8;885.8;0
Spinach;180;41;0.5;0.1;
